question,ar,en,es,it,de,tr,ru,ur,fa,fr,in
I tend to focus on the present moment rather than the future.,أميل إلى التركيز على اللحظة الحالية بدلاً من المستقبل.,I tend to focus on the present moment rather than the future.,Tiendo a centrarme en el momento presente más que en el futuro.,Tendo a concentrarmi sul momento presente piuttosto che sul futuro.,Ich konzentriere mich eher auf den gegenwärtigen Moment als auf die Zukunft.,Gelecekten ziyade şu ana odaklanma eğilimindeyim.,"Я склонен сосредотачиваться на настоящем моменте, а не на будущем.",میں مستقبل کے بجائے موجودہ لمحے پر توجہ مرکوز کرتا ہوں۔,من تمایل دارم بر لحظه حال تمرکز کنم تا آینده.,J'ai tendance à me concentrer sur le moment présent plutôt que sur le futur.,मैं भविष्य की बजाय वर्तमान क्षण पर ध्यान केंद्रित करता हूं।
I often come up with creative solutions to problems.,كثيرا ما أتوصل إلى حلول إبداعية للمشاكل.,I often come up with creative solutions to problems.,A menudo se me ocurren soluciones creativas a los problemas.,Spesso trovo soluzioni creative ai problemi.,Ich finde oft kreative Lösungen für Probleme.,Sorunlara sıklıkla yaratıcı çözümler bulurum.,Я часто придумываю творческие решения проблем.,میں اکثر مسائل کے تخلیقی حل تلاش کرتا ہوں۔,من اغلب راه حل های خلاقانه ای برای مشکلات ارائه می کنم.,Je trouve souvent des solutions créatives aux problèmes.,मैं अक्सर समस्याओं का रचनात्मक समाधान लेकर आता हूं।
I make decisions based on logic and rational thinking.,أتخذ قرارات مبنية على التفكير المنطقي والعقلاني.,I make decisions based on logic and rational thinking.,Tomo decisiones basadas en la lógica y el pensamiento racional.,Prendo decisioni basate sulla logica e sul pensiero razionale.,Ich treffe Entscheidungen auf der Grundlage von Logik und rationalem Denken.,Kararları mantığa ve rasyonel düşünceye dayanarak veririm.,"Я принимаю решения, основываясь на логике и рациональном мышлении.",میں منطق اور عقلی سوچ کی بنیاد پر فیصلے کرتا ہوں۔,من بر اساس منطق و تفکر منطقی تصمیم می گیرم.,Je prends des décisions basées sur la logique et la pensée rationnelle.,मैं तर्क और तर्कसंगत सोच के आधार पर निर्णय लेता हूं।
I enjoy spending time alone with my thoughts.,أنا أستمتع بقضاء الوقت وحدي مع أفكاري.,I enjoy spending time alone with my thoughts.,Disfruto pasar tiempo a solas con mis pensamientos.,Mi piace passare il tempo da solo con i miei pensieri.,"Ich genieße es, Zeit allein mit meinen Gedanken zu verbringen.",Düşüncelerimle yalnız vakit geçirmekten hoşlanıyorum.,Мне нравится проводить время наедине со своими мыслями.,مجھے اپنے خیالات کے ساتھ اکیلے وقت گزارنا اچھا لگتا ہے۔,از گذراندن وقت تنها با افکارم لذت می برم.,J'aime passer du temps seul avec mes pensées.,मुझे अपने विचारों के साथ अकेले समय बिताना अच्छा लगता है।
I value harmony and avoid conflict whenever possible.,أقدر الانسجام وتجنب الصراع كلما أمكن ذلك.,I value harmony and avoid conflict whenever possible.,Valoro la armonía y evito el conflicto siempre que sea posible.,Apprezzo l'armonia ed evito i conflitti quando possibile.,"Ich schätze Harmonie und vermeide Konflikte, wann immer es möglich ist.",Uyuma değer veririm ve mümkün olduğunca çatışmadan kaçınırım.,"Я ценю гармонию и избегаю конфликтов, когда это возможно.",میں ہم آہنگی کی قدر کرتا ہوں اور جب بھی ممکن ہو تنازعات سے گریز کرتا ہوں۔,من برای هماهنگی ارزش قائل هستم و در صورت امکان از درگیری اجتناب می کنم.,J'apprécie l'harmonie et j'évite les conflits autant que possible.,मैं सद्भाव को महत्व देता हूं और जब भी संभव हो संघर्ष से बचता हूं।
I prefer to work in a structured environment with clear guidelines.,أفضل العمل في بيئة منظمة ذات إرشادات واضحة.,I prefer to work in a structured environment with clear guidelines.,Prefiero trabajar en un ambiente estructurado con pautas claras.,Preferisco lavorare in un ambiente strutturato con linee guida chiare.,"Ich bevorzuge es, in einer strukturierten Umgebung mit klaren Richtlinien zu arbeiten.",Açık yönergelerin olduğu yapılandırılmış bir ortamda çalışmayı tercih ederim.,Я предпочитаю работать в структурированной среде с четкими инструкциями.,میں واضح رہنما خطوط کے ساتھ ایک منظم ماحول میں کام کرنے کو ترجیح دیتا ہوں۔,من ترجیح می دهم در یک محیط ساختاریافته با دستورالعمل های روشن کار کنم.,Je préfère travailler dans un environnement structuré avec des directives claires.,मैं स्पष्ट दिशानिर्देशों के साथ संरचित वातावरण में काम करना पसंद करता हूं।
I enjoy brainstorming and exploring new ideas with others.,أستمتع بالعصف الذهني واستكشاف أفكار جديدة مع الآخرين.,I enjoy brainstorming and exploring new ideas with others.,Disfruto intercambiar ideas y explorar nuevas ideas con otros.,Mi piace fare brainstorming ed esplorare nuove idee con gli altri.,"Ich genieße es, gemeinsam mit anderen Brainstorming zu betreiben und neue Ideen auszuprobieren.",Başkalarıyla beyin fırtınası yapmaktan ve yeni fikirler keşfetmekten hoşlanırım.,Мне нравится проводить мозговые штурмы и исследовать новые идеи вместе с другими.,مجھے دوسروں کے ساتھ نئے خیالات کے بارے میں سوچنے اور دریافت کرنے میں مزہ آتا ہے۔,از طوفان فکری و کشف ایده های جدید با دیگران لذت می برم.,J'aime réfléchir et explorer de nouvelles idées avec les autres.,मुझे दूसरों के साथ विचार-मंथन करने और नए विचारों की खोज करने में आनंद आता है।
I pay close attention to details and notice things that others might miss.,أهتم جيدًا بالتفاصيل وألاحظ الأشياء التي قد يفوتها الآخرون.,I pay close attention to details and notice things that others might miss.,Presto mucha atención a los detalles y noto cosas que otros podrían pasar por alto.,Presto molta attenzione ai dettagli e noto cose che gli altri potrebbero non notare.,"Ich achte sehr auf Details und bemerke Dinge, die andere vielleicht übersehen.",Ayrıntılara çok dikkat ediyorum ve başkalarının gözden kaçırabileceği şeyleri fark ediyorum.,"Я уделяю пристальное внимание деталям и замечаю то, что другие могут упустить.",میں تفصیلات پر پوری توجہ دیتا ہوں اور ان چیزوں کو نوٹ کرتا ہوں جن سے دوسروں کی کمی ہو سکتی ہے۔,من به جزئیات دقت می کنم و متوجه چیزهایی می شوم که ممکن است دیگران از دست بدهند.,Je porte une attention particulière aux détails et je remarque des choses que d'autres pourraient manquer.,मैं विवरणों पर बारीकी से ध्यान देता हूं और उन चीजों पर ध्यान देता हूं जो अन्य लोग चूक सकते हैं।
I am adaptable and can easily adjust to new situations.,أنا قادر على التكيف ويمكنني التكيف بسهولة مع المواقف الجديدة.,I am adaptable and can easily adjust to new situations.,Soy adaptable y puedo adaptarme fácilmente a nuevas situaciones.,Sono adattabile e riesco facilmente ad adattarmi a nuove situazioni.,Ich bin anpassungsfähig und kann mich leicht an neue Situationen anpassen.,Uyumluyum ve yeni durumlara kolayca uyum sağlayabilirim.,Я легко адаптируюсь и легко приспосабливаюсь к новым ситуациям.,میں موافق ہوں اور آسانی سے نئے حالات میں ایڈجسٹ کر سکتا ہوں۔,من سازگار هستم و به راحتی می توانم خود را با شرایط جدید وفق دهم.,Je suis adaptable et peux facilement m'adapter à de nouvelles situations.,मैं अनुकूलनीय हूं और नई परिस्थितियों से आसानी से तालमेल बिठा सकता हूं।
I am enthusiastic and energetic in social settings.,أنا متحمس وحيوي في الأوساط الاجتماعية.,I am enthusiastic and energetic in social settings.,Soy entusiasta y enérgico en entornos sociales.,Sono entusiasta ed energico nei contesti sociali.,Ich bin enthusiastisch und energisch im sozialen Umfeld.,Sosyal ortamlarda heyecanlı ve enerjik biriyim.,Я полон энтузиазма и энергии в социальных сетях.,میں سماجی ماحول میں پرجوش اور پرجوش ہوں۔,من در محیط های اجتماعی مشتاق و پرانرژی هستم.,Je suis enthousiaste et énergique dans les milieux sociaux.,मैं सामाजिक परिवेश में उत्साही और ऊर्जावान हूं।
I rely on my instincts and gut feelings when making decisions.,أعتمد على غرائزي وأحاسيسي عند اتخاذ القرارات.,I rely on my instincts and gut feelings when making decisions.,Confío en mis instintos y mis instintos al tomar decisiones.,Mi affido al mio istinto e alle mie sensazioni viscerali quando prendo decisioni.,Bei Entscheidungen verlasse ich mich auf meinen Instinkt und mein Bauchgefühl.,Karar verirken içgüdülerime ve içgüdülerime güvenirim.,"Принимая решения, я полагаюсь на свои инстинкты и интуицию.",میں فیصلے کرتے وقت اپنی جبلتوں اور آنتوں کے جذبات پر بھروسہ کرتا ہوں۔,هنگام تصمیم گیری به غرایز و احساسات درونی خود تکیه می کنم.,Je me fie à mon instinct et à mon intuition pour prendre des décisions.,निर्णय लेते समय मैं अपने अंतर्ज्ञान और आंतरिक भावनाओं पर भरोसा करता हूं।
I prefer to work independently rather than in a team.,أفضّل العمل بشكل مستقل وليس ضمن فريق.,I prefer to work independently rather than in a team.,Prefiero trabajar de forma independiente que en equipo.,Preferisco lavorare in modo indipendente piuttosto che in team.,Ich arbeite lieber selbstständig als im Team.,Takım halinde çalışmak yerine bağımsız çalışmayı tercih ederim.,"Я предпочитаю работать самостоятельно, а не в команде.",میں ٹیم میں رہنے کے بجائے آزادانہ طور پر کام کرنے کو ترجیح دیتا ہوں۔,ترجیح می‌دهم به‌جای تیمی، مستقل کار کنم.,Je préfère travailler de manière indépendante plutôt qu'en équipe.,मैं एक टीम के बजाय स्वतंत्र रूप से काम करना पसंद करता हूं।
I enjoy analyzing complex problems and finding solutions.,أنا أستمتع بتحليل المشاكل المعقدة وإيجاد الحلول.,I enjoy analyzing complex problems and finding solutions.,Disfruto analizando problemas complejos y encontrando soluciones.,Mi piace analizzare problemi complessi e trovare soluzioni.,"Es macht mir Spaß, komplexe Probleme zu analysieren und Lösungen zu finden.",Karmaşık sorunları analiz etmeyi ve çözüm bulmayı seviyorum.,Мне нравится анализировать сложные проблемы и находить решения.,مجھے پیچیدہ مسائل کا تجزیہ کرنے اور حل تلاش کرنے میں مزہ آتا ہے۔,من از تجزیه و تحلیل مسائل پیچیده و یافتن راه حل لذت می برم.,J'aime analyser des problèmes complexes et trouver des solutions.,मुझे जटिल समस्याओं का विश्लेषण करने और समाधान ढूंढने में आनंद आता है।
I like to explore new places and try new things.,أحب استكشاف أماكن جديدة وتجربة أشياء جديدة.,I like to explore new places and try new things.,Me gusta explorar nuevos lugares y probar cosas nuevas.,Mi piace esplorare nuovi posti e provare cose nuove.,"Ich mag es, neue Orte zu erkunden und neue Dinge auszuprobieren.",Yeni yerler keşfetmeyi ve yeni şeyler denemeyi severim.,Мне нравится исследовать новые места и пробовать что-то новое.,مجھے نئی جگہیں تلاش کرنا اور نئی چیزیں آزمانا پسند ہے۔,من دوست دارم مکان های جدید را کشف کنم و چیزهای جدید را امتحان کنم.,J'aime explorer de nouveaux endroits et essayer de nouvelles choses.,मुझे नई जगहें तलाशना और नई चीजें आज़माना पसंद है।
I enjoy spending time with close friends and family.,أنا أستمتع بقضاء الوقت مع الأصدقاء المقربين والعائلة.,I enjoy spending time with close friends and family.,Disfruto pasar tiempo con amigos cercanos y familiares.,Mi piace passare il tempo con gli amici intimi e la famiglia.,"Ich genieße es, Zeit mit engen Freunden und der Familie zu verbringen.",Yakın arkadaşlarımla ve ailemle vakit geçirmekten hoşlanırım.,Мне нравится проводить время с близкими друзьями и семьей.,میں قریبی دوستوں اور کنبہ کے ساتھ وقت گزارنے سے لطف اندوز ہوتا ہوں۔,از گذراندن وقت با دوستان نزدیک و خانواده لذت می برم.,J'aime passer du temps avec mes amis proches et ma famille.,मुझे करीबी दोस्तों और परिवार के साथ समय बिताना अच्छा लगता है।
I like to have a clear goal in mind before starting a task.,أحب أن يكون لدي هدف واضح في ذهني قبل البدء بأي مهمة.,I like to have a clear goal in mind before starting a task.,Me gusta tener un objetivo claro en mente antes de comenzar una tarea.,Mi piace avere un obiettivo chiaro in mente prima di iniziare un compito.,"Ich mag es, ein klares Ziel vor Augen zu haben, bevor ich mit einer Aufgabe beginne.",Bir göreve başlamadan önce aklımda net bir hedefin olmasını severim.,"Мне нравится иметь четкую цель, прежде чем приступить к выполнению задачи.",میں کسی کام کو شروع کرنے سے پہلے ذہن میں واضح مقصد رکھنا پسند کرتا ہوں۔,من دوست دارم قبل از شروع کار یک هدف روشن در ذهن داشته باشم.,J'aime avoir un objectif clair en tête avant de commencer une tâche.,मैं कोई भी काम शुरू करने से पहले एक स्पष्ट लक्ष्य अपने दिमाग में रखना पसंद करता हूं।
I often seek out new experiences and adventures.,كثيرا ما أبحث عن تجارب ومغامرات جديدة.,I often seek out new experiences and adventures.,A menudo busco nuevas experiencias y aventuras.,Cerco spesso nuove esperienze e avventure.,Ich suche oft nach neuen Erfahrungen und Abenteuern.,Sık sık yeni deneyimler ve maceralar ararım.,Я часто ищу новые впечатления и приключения.,میں اکثر نئے تجربات اور مہم جوئی تلاش کرتا ہوں۔,من اغلب به دنبال تجربیات و ماجراجویی های جدید هستم.,Je recherche souvent de nouvelles expériences et aventures.,मैं अक्सर नए अनुभव और रोमांच की तलाश में रहता हूँ।
I prefer to focus on the big picture rather than small details.,أفضّل التركيز على الصورة الكبيرة بدلًا من التفاصيل الصغيرة.,I prefer to focus on the big picture rather than small details.,Prefiero centrarme en el panorama general que en los pequeños detalles.,Preferisco concentrarmi sul quadro generale piuttosto che sui piccoli dettagli.,Ich konzentriere mich lieber auf das große Ganze als auf kleine Details.,Küçük detaylar yerine büyük resme odaklanmayı tercih ediyorum.,"Я предпочитаю сосредотачиваться на общей картине, а не на мелких деталях.",میں چھوٹی تفصیلات کے بجائے بڑی تصویر پر توجہ مرکوز کرنے کو ترجیح دیتا ہوں۔,ترجیح می دهم به جای جزئیات کوچک، روی تصویر بزرگ تمرکز کنم.,Je préfère me concentrer sur la situation dans son ensemble plutôt que sur les petits détails.,मैं छोटे विवरणों के बजाय बड़ी तस्वीर पर ध्यान केंद्रित करना पसंद करता हूं।
I am decisive and quick to make decisions.,أنا حاسم وسريع في اتخاذ القرارات.,I am decisive and quick to make decisions.,Soy resolutivo y rápido para tomar decisiones.,Sono deciso e veloce nel prendere decisioni.,Ich bin entscheidungsfreudig und treffe schnell Entscheidungen.,Kararlıyım ve hızlı karar veririm.,Я решительный и быстро принимаю решения.,میں فیصلہ کن اور فوری فیصلے کرنے والا ہوں۔,من قاطع هستم و سریع تصمیم می گیرم.,Je suis décisif et je prends rapidement des décisions.,मैं निर्णय लेने में निर्णायक और त्वरित हूं।
I enjoy participating in group activities and collaborations.,أنا أستمتع بالمشاركة في الأنشطة الجماعية والتعاون.,I enjoy participating in group activities and collaborations.,Disfruto participando en actividades grupales y colaboraciones.,Mi piace partecipare ad attività di gruppo e collaborazioni.,Ich nehme gerne an Gruppenaktivitäten und Kooperationen teil.,Grup etkinliklerine ve işbirliklerine katılmaktan hoşlanırım.,Мне нравится участвовать в групповых мероприятиях и сотрудничестве.,مجھے گروپ کی سرگرمیوں اور تعاون میں حصہ لینے میں لطف آتا ہے۔,از شرکت در فعالیت ها و همکاری های گروهی لذت می برم.,J'aime participer à des activités de groupe et à des collaborations.,मुझे समूह गतिविधियों और सहयोग में भाग लेने में आनंद आता है।
I am sensitive to criticism and take feedback personally.,أنا حساس تجاه النقد وأتقبل التعليقات بشكل شخصي.,I am sensitive to criticism and take feedback personally.,Soy sensible a las críticas y tomo los comentarios personalmente.,Sono sensibile alle critiche e prendo il feedback sul personale.,Ich reagiere sensibel auf Kritik und nehme Feedback persönlich.,Eleştirilere karşı duyarlıyım ve geri bildirimleri kişisel olarak alıyorum.,Я чувствителен к критике и принимаю отзывы на свой счет.,میں تنقید کے لیے حساس ہوں اور ذاتی طور پر رائے لیتا ہوں۔,من به انتقاد حساس هستم و بازخورد را شخصاً می گیرم.,Je suis sensible aux critiques et prends les commentaires personnellement.,मैं आलोचना के प्रति संवेदनशील हूं और व्यक्तिगत रूप से फीडबैक लेता हूं।
I like to plan my day and stick to a schedule.,أحب التخطيط ليومي والالتزام بجدول زمني.,I like to plan my day and stick to a schedule.,Me gusta planificar mi día y ceñirme a un horario.,Mi piace pianificare la mia giornata e rispettare un programma.,Ich plane gerne meinen Tag und halte mich an einen Zeitplan.,Günümü planlamayı ve bir programa bağlı kalmayı seviyorum.,Я люблю планировать свой день и придерживаться графика.,میں اپنے دن کی منصوبہ بندی کرنا اور شیڈول پر قائم رہنا پسند کرتا ہوں۔,دوست دارم روزم را برنامه ریزی کنم و به یک برنامه پایبند باشم.,J'aime planifier ma journée et respecter un emploi du temps.,मुझे अपने दिन की योजना बनाना और एक कार्यक्रम का पालन करना पसंद है।
I enjoy spending time in nature and connecting with the environment.,أنا أستمتع بقضاء الوقت في الطبيعة والتواصل مع البيئة.,I enjoy spending time in nature and connecting with the environment.,Disfruto pasar tiempo en la naturaleza y conectarme con el medio ambiente.,Mi piace trascorrere il tempo nella natura e connettermi con l'ambiente.,Ich verbringe gerne Zeit in der Natur und verbinde mich mit der Umwelt.,Doğada vakit geçirmekten ve çevreyle bağlantı kurmaktan keyif alıyorum.,Мне нравится проводить время на природе и общаться с окружающей средой.,مجھے فطرت میں وقت گزارنے اور ماحول کے ساتھ جڑنے میں لطف آتا ہے۔,از گذراندن وقت در طبیعت و ارتباط با محیط زیست لذت می برم.,J'aime passer du temps dans la nature et me connecter avec l'environnement.,मुझे प्रकृति में समय बिताना और पर्यावरण से जुड़ना अच्छा लगता है।
I prefer to rely on established methods rather than try new approaches.,أفضّل الاعتماد على الأساليب الراسخة بدلاً من تجربة أساليب جديدة.,I prefer to rely on established methods rather than try new approaches.,Prefiero confiar en métodos establecidos en lugar de probar nuevos enfoques.,Preferisco affidarmi a metodi consolidati piuttosto che provare nuovi approcci.,"Ich verlasse mich lieber auf etablierte Methoden, als neue Ansätze auszuprobieren.",Yeni yaklaşımlar denemek yerine yerleşik yöntemlere güvenmeyi tercih ederim.,"Я предпочитаю полагаться на устоявшиеся методы, а не пробовать новые подходы.",میں نئے طریقوں کو آزمانے کے بجائے قائم شدہ طریقوں پر انحصار کرنے کو ترجیح دیتا ہوں۔,من ترجیح می‌دهم به روش‌های ثابت تکیه کنم تا اینکه رویکردهای جدید را امتحان کنم.,Je préfère m'appuyer sur des méthodes établies plutôt que d'essayer de nouvelles approches.,मैं नए तरीकों को आजमाने के बजाय स्थापित तरीकों पर भरोसा करना पसंद करता हूं।
I am outgoing and enjoy being the center of attention.,أنا صادرة وأستمتع بكوني مركز الاهتمام.,I am outgoing and enjoy being the center of attention.,Soy extrovertida y disfruto ser el centro de atención.,Sono estroverso e mi piace essere al centro dell'attenzione.,"Ich bin kontaktfreudig und genieße es, im Mittelpunkt der Aufmerksamkeit zu stehen.",Dışa dönük biriyim ve ilgi odağı olmaktan keyif alıyorum.,Я общительный и люблю быть в центре внимания.,میں سبکدوش ہوں اور توجہ کا مرکز بننے سے لطف اندوز ہوں۔,من برون گرا هستم و از بودن در مرکز توجه لذت می برم.,Je suis extraverti et j'aime être le centre d'attention.,मैं मिलनसार हूं और ध्यान का केंद्र बने रहने का आनंद लेता हूं।
I often consider the implications and consequences of my actions.,كثيرا ما أفكر في الآثار المترتبة على أفعالي وعواقبها.,I often consider the implications and consequences of my actions.,A menudo considero las implicaciones y consecuencias de mis acciones.,Considero spesso le implicazioni e le conseguenze delle mie azioni.,Ich denke oft über die Implikationen und Konsequenzen meines Handelns nach.,Çoğu zaman eylemlerimin sonuçlarını ve sonuçlarını düşünürüm.,Я часто размышляю над последствиями своих действий.,میں اکثر اپنے اعمال کے مضمرات اور نتائج پر غور کرتا ہوں۔,من اغلب پیامدها و پیامدهای اعمالم را در نظر می گیرم.,Je réfléchis souvent aux implications et aux conséquences de mes actes.,मैं अक्सर अपने कार्यों के निहितार्थ और परिणामों पर विचार करता हूं।
