sympol,ar,en,es,it,ur,fr,de,tr,ru,fa
firstthird,الثلث الأول,Firstthird,El primer tercio,Il primo terzo,پہلا تیسرا,Le premier tiers,Das erste Drittel,Birinci Üçüncü,Первая треть,سوم اول
lastthird,التثلث الاأخير,Lastthird,La última contaminación,L'ultimo inquinamento,آخری آلودگی,La dernière pollution,Die letzte Verschmutzung,Son Kirlilik,Последнее загрязнение,آخرین آلودگی
location_status,حالة الموقع,Location Status,Estado del sitio,Stato del sito,سائٹ کی حیثیت,Statut du site,Standortstatus,Site Durumu,Статус сайта,وضعیت سایت
given,معطى,Given,Dado,Dato,دیئے گئے,Donné,Gegeben,Verilen,Данный,داده شده
permission_permanently_denied,الاذن تم رفضه بشكل كامل,Permission permanently denied,La oreja fue completamente rechazada,L'orecchio è stato completamente respinto,کان کو مکمل طور پر مسترد کردیا گیا تھا,L'oreille a été complètement rejetée,Das Ohr wurde vollständig abgelehnt,Kulak tamamen reddedildi,Ухо было полностью отвергнуто,گوش کاملاً رد شد
qiblah_compass_error:,خطأ فى بوصلة القبلة,Qiblah Compass Error:,Un error en la brújula Qiblah,Un errore nella bussola Qiblah,قریبا کمپاس میں ایک غلطی,Une erreur dans la boussole Qiblah,Ein Fehler im Qiblah -Kompass,Qiblah pusulasında bir hata,Ошибка в компас Qiblah,یک اشتباه در قطب نما qiblah
check_location_permission,تحقق من إذن الموقع,Check Location Permission,Verifique el permiso del sitio,Controlla l'autorizzazione del sito,سائٹ کی اجازت چیک کریں,Vérifiez l'autorisation du site,Überprüfen Sie die Erlaubnis zur Website,Site iznini kontrol edin,Проверьте разрешение сайта,اجازه سایت را بررسی کنید
qiblah_direction,اتجاه القبلة,Qiblah Direction,Qiblah,Qiblah,قیبلا,Qiblah,Qiblah,Qiblah,Qiblah,قیب
please_enable_location_service,يرجى تمكين خدمة الموقع,Please enable Location service,Habilita el servicio del sitio,Si prega di abilitare il servizio del sito,براہ کرم سائٹ سروس کو فعال کریں,Veuillez activer le service du site,Bitte aktivieren Sie den Site -Service,Lütfen site hizmetini etkinleştirin,"Пожалуйста, включите службу сайта",لطفا سرویس سایت را فعال کنید
location_service_denied_forever !,تم رفض خدمة الموقع إلى الأبد!,Location service Denied Forever !,¡El servicio del sitio ha sido rechazado para siempre!,Il servizio del sito è stato rifiutato per sempre!,سائٹ سروس کو ہمیشہ کے لئے مسترد کردیا گیا ہے!,Le service du site a été rejeté pour toujours!,Der Site -Service wurde für immer abgelehnt!,Site hizmeti sonsuza dek reddedildi!,Служба сайта была отвергнута навсегда!,سرویس سایت برای همیشه رد شده است!
location_service_permission_denied,تم رفض إذن خدمة الموقع,Location service permission denied,El permiso del servicio del sitio ha sido rechazado,L'autorizzazione al servizio del sito è stata respinta,سائٹ سروس کی اجازت کو مسترد کردیا گیا ہے,L'autorisation du service du site a été rejetée,Die Erlaubnis zur Site -Service wurde abgelehnt,Site hizmet izni reddedildi,Разрешение на обслуживание сайта было отклонено,مجوز خدمات سایت رد شده است
let's_read_quran,دعوا يقرأ القرآن,Let;s read Quran,Leemos el Corán,Leggiamo il Corano,آئیے قرآن کو پڑھیں,Lisons le Coran,Lassen Sie uns den Koran lesen,Kur'an'ı okuyalım,Давайте прочитаем Коран,بیایید قرآن را بخوانیم
tajweed,التجويد,Tajweed,Entonación,Intonazione,intonation,Intonation,Intonation,Tonlama,Интонация,دفع
surah_name,اسم السورة,Surah Name,El nombre de la sura,Il nome della Sura,سورہ کا نام,Le nom de la sourate,Der Name der Surah,Suranın adı,Имя Суры,نام سوره
Al-Fatiha,الفَاتِحَة,Al-Fatiha,Al -fateh,Al -Fateh,الفاتیہ,Al -fateh,Al -Fateh,Al -Fateh,Al -fateh,البث
Al-Baqarah,البَقَرَة,Al-Baqarah,La vaca,La mucca,گائے,La vache,Die Kuh,İnek,Корова,گاو
Al-Imran,آل عِمرَان,Al-Imran,Familia Amran,Famiglia Amran,امران فیملی,Famille Amran,Amran -Familie,Amran ailesi,Семья Амрана,خانواده امران
An-Nisa',النِّسَاء,An-Nisa',Mujer,Donne,خواتین,Femmes,Frauen,Kadınlar,Женщины,زنان
Al-Ma'idah,المَائدة,Al-Ma'idah,La mesa,La tavola,میز,La table,Der Tisch,Masa,Стол,میز
Al-An'am,الأنعَام,Al-An'am,ganado,bestiame,مویشی,bétail,Vieh,Hayvanlar,крупный рогатый скот,گاو
Al-A'raf,الأعرَاف,Al-A'raf,Arifs,Arifs,ARIFS,Arifs,Arifs,Arifler,Арифс,قصور
Al-Anfal,الأنفَال,Al-Anfal,La nariz,Il naso,ناک,Le nez,Die Nase,Burun,Нос,بینی
At-Tawbah,التوبَة,At-Tawbah,Arrepentimiento,Pentimento,توبہ,Repentir,Buße,Tövbe,Покаяние,توبه
Yunus,يُونس,Yunus,Jóvenes,Younes,یونس,Jeune,Younes,Younes,ЮНС,یونس
Hud,هُود,Hud,Capucha,Cappuccio,ہڈ,Capot,Haube,Kapüşon,Капюшон,کاپوت ماشین
Yusuf,يُوسُف,Yusuf,Yusef,Yusef,یوسف,Yusef,Yusef,Yusef,Юсеф,یوزف
Ar-Ra'd,الرَّعْد,Ar-Ra'd,Redada,Raid,چھاپے,Raid,Überfall,Yağma,Рейд,یورش
Ibrahim,إبراهِيم,Ibrahim,Ibrahim,Ibrahim,ابراہیم,Ibrahim,Ibrahim,İbrahim,Ибрагим,ابراهیم
Al-Hijr,الحِجْر,Al-Hijr,La piedra,La pietra,پتھر,La pierre,Der Stein,Taş,Камень,سنگ
An-Nahl,النَّحْل,An-Nahl,El apicultor,L'apicoltore,مکھیوں کیپر,L'apiculteur,Der Imker,Arıcı,Пчеловод,زنبوردار
Al-Isra',الإسْرَاء,Al-Isra',Las familias,Le famiglie,کنبے,Les familles,Die Familien,Aileler,Семьи,خانواده ها
Al-Kahf,الكهْف,Al-Kahf,la cueva,la grotta,غار,la cave,die Höhle,mağara,пещера,غار
Maryam,مَريَم,Maryam,Mariam,Mariam,مریم,Mariam,Mariam,Mariam,Мариам,مریم
Ta-Ha,طه,Ta-Ha,Taha,Taha,طاہا,Taha,Taha,Taha,Таха,تاها
Al-Anbiya',الأنبيَاء,Al-Anbiya',Los profetas,I profeti,نبی,Les prophètes,Die Propheten,Peygamberler,Пророки,انبیاء
Al-Hajj,الحَج,Al-Hajj,Peregrinaje,Pellegrinaggio,حج,Pèlerinage,Pilgerfahrt,Hac,Паломничество,زیارت
Al-Mu'minun,المُؤمنون,Al-Mu'minun,Los creyentes,I credenti,مومنین,Les croyants,Die Gläubigen,İnananlar,Верующие,مؤمنان
An-Nur,النُّور,An-Nur,la luz,la luce,روشنی,la lumière,das Licht,ışık,свет,روشنایی
Al-Furqan,الفُرْقان,Al-Furqan,Frutas,Frutta,پھل,Des fruits,Früchte,Meyveler,Фрукты,میوه
Ash-Shu'ara',الشُّعَرَاء,Ash-Shu'ara',Poesía,Poesia,شاعری,Poésie,Poesie,Şiir,Поэзия,شعر
An-Naml,النَّمْل,An-Naml,Placer,Piacere,خوشی,Plaisir,Vergnügen,Zevk,Удовольствие,لذت
Al-Qasas,القَصَص,Al-Qasas,Cuentos,Storie,کہانیاں,Histoires,Geschichten,Hikayeler,Истории,داستان
Al-Ankabut,العَنكبوت,Al-Ankabut,La araña,Il ragno,مکڑا,L'araignée,Die Spinne,Örümcek,Паук,عنکبوت
Ar-Rum,الرُّوم,Ar-Rum,Romanos,romani,رومیوں,Romains,Römer,Romalılar,Римляне,رومیان
Luqman,لقمَان,Luqman,Laman,Laman,لامان,Laman,Laman,Laman,Ламан,لومان
As-Sajda,السَّجدَة,As-Sajda,Soltero,Separare,سنگل,Célibataire,Einzel,Bekar,Одинокий,تنها
Al-Ahzab,الأحزَاب,Al-Ahzab,Fiestas,Feste,پارٹیوں,Des soirées,Partys,Partiler,Стороны,مهمانی
Saba',سَبَأ,Saba',Publicación,Pubblicazione,اشاعت,Publication,Veröffentlichung,Yayın,Публикация,انتشار
Fatir,فَاطِر,Fatir,creador,Creatore,خالق,créateur,Schöpfer,yaratıcı,Создатель,ایجاد کننده
Ya-Sin,يس,Ya-Sin,Yasin,Yasin,یاسین,Yasin,Yasin,Yasin,Ясин,یاسین
As-Saffat,الصَّافات,As-Saffat,Safat,Safat,صفات,Sauvegarder,Safat,Safat,Сафат,سافات
Sad,ص,Sad,s,S,s,s,S,S,с,حرف
Az-Zumar,الزُّمَر,Az-Zumar,Zamar,Zamar,زمر,Zamar,Zamar,Zamar,Замар,زامار
Ghafir,غَافِر,Ghafir,indulgente,perdonare,معاف کرنے والا,indulgent,versöhnlich,affedici,прощающий,بخشنده
Fussilat,فُصِّلَتْ,Fussilat,Estaba separado,Era separato,اسے الگ کردیا گیا تھا,Il a été séparé,Es wurde getrennt,Ayrıldı,Это было разделено,از هم جدا شد
Ash-Shura,الشُّورَى,Ash-Shura,Shura,Shura,شورا,Shura,Shura,Şura,Шура,گور
Az-Zukhruf,الزُّخْرُف,Az-Zukhruf,Decreto,Decreto,فرمان,Décret,Dekret,Kararname,Указатель,حکم
Ad-Dukhan,الدُّخان,Ad-Dukhan,Fumar,Fumo,دھواں,Fumée,Rauch,Sigara içmek,Дымка,دود
Al-Jathiyah,الجاثِية,Al-Jathiyah,Cathy,Cathy,کیتھی,Cathy,Cathy,diz üstü çöken,Кэти,کتی
Al-Ahqaf,الأحقاف,Al-Ahqaf,Ritual,Rituale,رسم,Rituel,Ritual,Ritüel,Ритуал,تشریفات
Muhammad,مُحَمّد,Muhammad,Mohamed,Mohammed,محمد,Mohammed,Mohammed,Muhammet,Мухаммед,محمد
Al-Fath,الفَتْح,Al-Fath,La conquista,La conquista,فتح,La conquête,Die Eroberung,Fetih,Завоевание,فتح
Al-Hujurat,الحُجُرات,Al-Hujurat,Las piedras,Le pietre,پتھر,Les pierres,Die Steine,Taşlar,Камни,سنگها
Qaf,ق,Qaf,S,S,s,S,S,S,С,حرف
Adh-Dhariyat,الذَّاريَات,Adh-Dhariyat,Lata,Duraat,دورات,Duraat,Duraat,Esir,Duraat,دورا
At-Tur,الطُّور,At-Tur,La fase,La fase,مرحلہ,La phase,Die Phase,Evre,Фаза,فاز
An-Najm,النَّجْم,An-Najm,La estrella,La stella,ستارہ,L'étoile,Der Stern,Yıldız,Звезда,ستاره
Al-Qamar,القَمَر,Al-Qamar,la luna,la luna,چاند,la lune,der Mond,ay,Луна,ماه
Ar-Rahman,الرَّحمن,Ar-Rahman,misericordioso,misericordioso,مہربان,miséricordieux,barmherzig,merhametli,милосердный,رحیم - مهربان
Al-Waqi'ah,الواقِعَة,Al-Waqi'ah,La ocurrencia,Il verificarsi,واقعہ,L'occurrence,Das Ereignis,Olay,Появление,رخداد
Al-Hadid,الحَديد,Al-Hadid,Hierro,Ferro,آئرن,Fer,Eisen,Ütü,Железо,اهن
Al-Mujadila,المُجادَلة,Al-Mujadila,El argumento,L'argomento,دلیل,L'argument,Das Argument,Argüman,Аргумент,بحث و جدل
Al-Hashr,الحَشْر,Al-Hashr,Honorable,Onorevole,معزز,Honorable,Ehrenvoll,Onurlu,Почетный,محتمل
Al-Mumtahina,المُمتَحَنة,Al-Mumtahina,Claro,Chiaro,صاف,Clair,Klar,Temizlemek,Прозрачный,پاک کردن
As-Saff,الصَّف,As-Saff,la línea,la linea,لکیر,la ligne,die Linie,sınıf,линия,خط
Al-Jumu'ah,الجُّمُعة,Al-Jumu'ah,Viernes,Venerdì,جمعہ,Vendredi,Freitag,Cuma,Пятница,جمعه
Al-Munafiqun,المُنافِقُون,Al-Munafiqun,Excelente,Eccellenti,ایکینٹ,Excellente,Exzellente,Mükemmeller,Превосходные,تعالی
At-Taghabun,التَّغابُن,At-Taghabun,Tagamón,Tagamon,Tagamon,Tagamon,Tagamon,Tagamon,Тагамон,تگامون
At-Talaq,الطَّلاق,At-Talaq,El divorcio,Il divorzio,طلاق,Le divorce,Die Scheidung,Boşanma,Развод,طلاق
At-Tahrim,التَّحْريم,At-Tahrim,La prohibición,Il divieto,ممانعت,L'interdiction,Das Verbot,Yasak,Запрет,ممنوعیت
Al-Mulk,المُلْك,Al-Mulk,el rey,il re,بادشاہ,le roi,der König,Kral,король,پادشاه
Al-Qalam,القَلـََم,Al-Qalam,El corazón,Il cuore,دل,Le cœur,Das Herz,Kalp,Сердце,قلب
Al-Haqqah,الحَاقّـَة,Al-Haqqah,La crueldad,La crudeltà,ظلم,La cruauté,Die Grausamkeit,Zulüm,Жестокость,ظلم
Al-Ma'arij,المَعارِج,Al-Ma'arij,Conocimiento,Conoscenza,علم,Connaissance,Wissen,Bilgi,Знание,دانش
Nuh,نُوح,Nuh,Noé,Noè,نوح,Noé,Noah,Nuh,Ной,نوح
Al-Jinn,الجِنّ,Al-Jinn,Jin,Jin,جن,diable,Jin,Jin,Джин,جین
Al-Muzzammil,المُزَّمّـِل,Al-Muzzammil,El asociado,Il associato,وابستہ,L'associé,Der zugehörige,Ilişkili,Связанный,مرتبط
Al-Muddathir,المُدَّثــِّر,Al-Muddathir,La actualización,L'aggiornamento,تازہ کاری,La mise à jour,Das Update,Güncelleme,Обновление,به روز رسانی
Al-Qiyamah,القِيامَة,Al-Qiyamah,Resurrección,Risurrezione,قیامت,Résurrection,Auferstehung,Diriliş,Воскрешение,رستاخیز
Al-Insan,الإنسان,Al-Insan,Humano,Umano,انسانی,Humain,Menschlich,İnsan,Человек,انسان
Al-Mursalat,المُرسَلات,Al-Mursalat,Envío,Invia,بھیجتا ہے,Envoi,Sendet,Gönderir,Отправляет,ارسال کردن
An-Naba',النـَّبأ,An-Naba',Bien,BENE,ٹھیک ہے,Bien,Also,Kuyu,Хорошо,خوب
An-Nazi'at,النـّازِعات,An-Nazi'at,Persona,Persone,افراد,Personnes,Personen,Kişiler,Люди,افراد
Abasa,عَبَس,Abasa,Elegir,Scegliere,چنیں,Prendre,Wählen,Seçmek,Выбирать,انتخاب
At-Takwir,التـَّكْوير,At-Takwir,El mandato,Il mandato,مینڈیٹ,Le mandat,Das Mandat,Görev,Мандат,حکم
Al-Infitar,الإنفِطار,Al-Infitar,Desayuno,Colazione,ناشتہ,Petit-déjeuner,Frühstück,Kahvaltı,Завтрак,صبحانه
Al-Mutaffifin,المُطـَفِّفين,Al-Mutaffifin,Los conductores,I guidatori,ڈرائیور,Les conducteurs,Die Fahrer,Sürücüler,Водители,رانندگان
Al-Inshiqaq,الإنشِقاق,Al-Inshiqaq,Pulgismo,Inchismo,انچزم,Inchisme,Inchismus,İnçlik,Инчизм,اینت
Al-Buruj,البُروج,Al-Buruj,La promoción,La promozione,پروموشن,La promotion,Beförderung,Promosyon,Продвижение,ارتقاء
At-Tariq,الطّارق,At-Tariq,Tariq,Tariq,طارق,Tariq,Tariq,TARIQ,Тарик,طارق
Al-A'la,الأعلی,Al-A'la,El más alto,Il più alto,بلند ترین,Le plus haut,Das höchste,En yüksek,Самый высокий,بالاترین
Al-Ghashiyah,الغاشِيَة,Al-Ghashiyah,Al -Ghisha,Al -ghisha,الغیشا,Al -Ghisha,Al -Ghisha,Al -Ghisha,Ал -гиша,الحیشا
Al-Fajr,الفَجْر,Al-Fajr,Alba,All'alba,دن کا وقفہ,Aube,Tagesanbruch,Gündüzü,Рассвет,طلوع شبانه روز
Al-Balad,البَـلـَد,Al-Balad,El país,Paese,ملک,Le pays,Das Land,Ülke,Страна,کشور
Ash-Shams,الشــَّمْس,Ash-Shams,Al -Shameh,Al -Shameh,al -shameh,Al -Shameh,Al -Shameh,Al -Shameh,Al -shameh,الشام
Al-Layl,اللـَّيل,Al-Layl,La degeneración,La degenerazione,انحطاط,La dégénérescence,Die Degeneration,Dejenerasyon,Дегенерация,انحطاط
Ad-Duha,الضُّحی,Ad-Duha,El sacrificio,Il sacrificio,قربانی,Le sacrifice,Das Opfer,Fedakarlık,Жертвоприношение,فداکاری
Ash-Sharh,الشَّرْح,Ash-Sharh,la explicación,la spiegazione,وضاحت,l'explication,die Erklärung,açıklama,объяснение,توضیحات
At-Tin,التـِّين,At-Tin,El color,Il colore,رنگ,La couleur,Die Farbe,Renk,Цвет,رنگ
Al-'Alaq,العَلـَق,Al-'Alaq,Al -Alaq,Al -alaq,al -alaq,Al -Alaq,Al -Alaq,Al -Alaq,Al -alaq,آلک
Al-Qadr,القـَدر,Al-Qadr,Qadir,Qadir,قادر,Qadir,Qadir,Dörtlü,Кадир,قدیر
Al-Bayyinah,البَيِّنَة,Al-Bayyinah,La evidencia,La prova,شواھد,La preuve,Der Beweis,Kanıt,Доказательство,شواهد
Az-Zalzalah,الزلزَلة,Az-Zalzalah,Zalabah,Zalabah,زالبہ,Zalabah,Zalabah,Zalabah,Залаба,Zalabah
Al-'Adiyat,العَادِيات,Al-'Adiyat,Las ordenes,Gli ordini,احکامات,Les ordres,Die Aufträge,Emirler,Приказы,سفارشات
Al-Qari'ah,القارِعَة,Al-Qari'ah,Qarbah,Qarbah,قرباہ,Qarbah,Qarbah,Qarbah,Карба,قارب
At-Takathur,التَكاثـُر,At-Takathur,Takhtra,Takhtra,تختترا,Takhtra,Takhtra,Takhtra,Тахтра,تاکترا
Al-'Asr,العَصْر,Al-'Asr,edad,età,عمر,âge,Alter,yaş,возраст,سن
Al-Humazah,الهُمَزَة,Al-Humazah,Humanización,Umanizzazione,انسانیت,Humanisation,Humanisierung,İnsanlaştırma,Гуманизация,انسان سازی
Al-Fil,الفِيل,Al-Fil,el elefante,l'elefante,ہاتھی,l'éléphant,der Elefant,fil,слон,فیل
Quraysh,قـُرَيْش,Quraysh,Qaryh,Qaryh,قریہ,Qaryh,Qaryh,Çiğneme,Кари,قارچ
Al-Ma'un,المَاعُون,Al-Ma'un,El único,L'unico,ایک,Celui,Der Eine,Tek,Тот самый,یکی از
Al-Kawthar,الكَوْثَر,Al-Kawthar,Abrigo,Cappotto,کوٹ,Manteau,Mantel,Kaban,Пальто,روکش
Al-Kafirun,الكَافِرُون,Al-Kafirun,Los infieles,Gli infedeli,کافر,Les infidèles,Die Ungläubigen,Infidels,Неверные,کافران
An-Nasr,النـَّصر,An-Nasr,Animar,Liven,زندہ,Animer,Beleben,Canlandırmak,Оживить,زندگی
Al-Masad,المَسَد,Al-Masad,El Assad,L'Assad,اسد,L'Assad,Der Assad,Esad,Асад,اسد
Al-Ikhlas,الإخْلَاص,Al-Ikhlas,devoción,devozione,عقیدت,dévouement,Hingabe,özveri,преданность,تعلق خاطر
Al-Falaq,الفَلَق,Al-Falaq,Abrazadera,MORSETTO,کلیمپ,Serrer,Klemme,Kelepçe,Зажим,گیره
An-Nas,النَّاس,An-Nas,la gente,la gente,لوگ,les gens,die Menschen,insanlar,люди,مردم
roqia_cheria,الرقية الشرعية,Roqia Charaia,Roquia,Roquia,روکیا,Roquia,Roquia,Roquia,Рокия,رکیا
Saad Al-Ghamdi,سعد الغامدي,Saad Al-Ghamdi,Saad al-Ghamdi,Saad al-Ghamdi,سعد الغمدی,Saad al-Ghamdi,Saad al-Ghamdi,Saad al-gamdi,Саад аль-Гэмди,سعد الغامدی
Abdulrahman Alsudaes,عبد الرحمن السديس,Abdulrahman Alsudaes,Abdullrahman alsudais,Abdullrahman Alsudais,عبد اللہ مین السودیس,Abdullrahman alsudais,Abdullrahman Alsudais,Abdullrahman Alsudais,Абдуллархман Алсуде,عبدالرهمن آلسودائیس
Abdulbasit Abdulsamad - Almusshaf Al Mojawwad,عبدالباسط عبد الصمد,Abdulbasit Abdulsamad,Abdul Basit Abdul Samad,Abdul Basit Abdul Samad,عبد الاسط عبد الصرد,Abdul Basit Abdul Samad,Abdul Basit Abdul Samad,Abdul Basit Abdul Samad,Абдул Базит Абдул Самад,عبدالسیت عبدالمد سامد
Shaik Abu Bakr Al Shatri,شيخ أبوبكر الشاطرى,Shaik Abu Bakr Al Shatri,Jeque abu bakr al -shatri,Sheikh Abu Bakr Al -shatri,شیخ ابو بکر الشتری,Cheikh abu bakr al -shatri,Sheikh Abu Bakr al -Shatri,Şeyh Abu Bakr al -shatri,Шейх Абу Бакр Аль -Шатри,شیخ ابوبکر الشاتری
Saud Al-Shuraim,سعود الشريم,Saud Al-Shuraim,Saud al -shuraim,Saud al -Shuraim,سعود الشوریم,Saud al -shuraim,Saud al -Shuraim,Saud Al -Shaim,Сауд Аль -Шурайм,سعود ال -شرایم
Nasser Alqatami,ناصر القطامى,Nasser Alqatami,Naser al Katamy,Naser Al Katamy,نصر ال کتامی,Naser Al Katamy,Naser Al Katamy,Naser Al Katamy,Naser Al Katamy,نصر ال کاتامی
Mohammed Ayyub,محمد أيوب,Mohammed Ayyub,Mohamed Ayoub,Mohamed Ayoub,محمد ایوب,Mohamed Ayoub,Mohamed Ayoub,Mohamed Ayoub,Мохамед Аюб,محمد ایوب
Mohammed Siddiq Al-Minshawi,محمد صديق المنشاوى,Mohammed Siddiq Al-Minshawi,Muhammad Siddiq al -minshawi,Muhammad Siddiq al -minshawi,محمد صدیق الانشاوی,Muhammad Siddiq al -minshawi,Muhammad Siddiq al -Minshawi,Muhammed Siddiq al -Minshawi,Мухаммед Сиддик Аль -Миншави,محمد سدیق المینشوی
Mohammed Jibreel,محمد جبريل,Mohammed Jibreel,Muhammad Jibril,Muhammad Jibril,محمد جبرل,Muhammad Jibril,Muhammad Jibril,Muhammed Jibril,Мухаммед Джибриль,محمد جبریل
Mohammad Al-Tablaway,محمد الطبلاوى,Mohammad Al-Tablaway,Muhammad al -tlaBawy,Muhammad al -tablawy,محمد التبلوی,Muhammad al -Tablawy,Muhammad al -tablawy,Muhammed al -tablawy,Мухаммед Аль -Таблави,محمد التاباوی
Mishary Alafasi,مشارى العفاسى,Mishary Alafasi,Mishari al-Afasi,Mishari al-afasi,مشاری الفاسی,Mishari al-Afasi,Mishari al-Afasi,Mishari al-Afasi,Мишари аль-Афаси,میشاری الفازی
Maher Al Meaqli,ماهر الميقلي,Maher Al Meaqli,Maher Al -Mikali,Maher al -mikali,مہر المکالی,Maher al -mikali,Maher al -Mikali,Maher Al -Mikali,Махер Аль -Микали,ماهر المیکالی
Ahmad Al-Ajmy,أحمد العجمي,Ahmad Al-Ajmy,Ahmed al-Agamy,Ahmed al-agamy,احمد الغامی,Ahmed al-Agamy,Ahmed al-Agamy,Ahmed Al-Agamy,Ахмед аль-Агамия,احمد الگامی
fateha_roqia,رقية سورة الفاتحة,Fateha Roqia,Ruqaya Surat al -fatihah,Ruqaya Surat al -fatihah,روکایا سورت الفتیہہ,Ruqaya Surat al -fatihah,Ruqaya Surat al -fatihah,Ruqaya Surat al -fatihah,Рукая Сурат Аль -Фатихах,Ruqaya Surat al -fatihah
nasser_qatami_roqia,رقية بصوت ناصر القطامى,Nasser Qatami Roqia,Ruqaya con la voz de Nasser al -qatami,Ruqaya con la voce di Nasser al -qatami,ناصر القاتامی کی آواز کے ساتھ روکایا,Ruqaya avec la voix de Nasser al -qatami,Ruqaya mit der Stimme von Nasser al -Qatami,Nasser al -qatami'nin sesi ile ruqaya,Ruqaya с голосом Насера ​​аль -Катами,Ruqaya با صدای ناصر القاتامی
fares_abad_roqia,رقية بصوت فارس عباد,Fares Abad Roqia,Ruqaya con la voz de Faris Abbad,Ruqaya con la voce di Faris Abbad,فریس عبد کی آواز کے ساتھ روکایا,Ruqaya avec la voix de Faris Abbad,Ruqaya mit der Stimme von Faris Abbad,Faris Abbad'ın sesi ile Ruqaya,Рукия с голосом Фарис Аббад,Ruqaya با صدای Faris Abbad
maher_maqely_roqia,رقية بصوت ماهر المعقيلى,Maher Maqely Roqia,Ruqaya con la voz de Maher al -Miqili,Ruqaya con la voce di Maher al -miqili,ruqaya maher al -miQili کی آواز کے ساتھ,Ruqaya avec la voix de Maher al -miqili,Ruqaya mit der Stimme von Maher al -Miqili,Maher al -miqili'nin sesi ile ruqaya,Ruqaya с голосом Махера Аль -микили,Ruqaya با صدای ماهر المقیلی
saad_ghamdi_roqia,رقية بصوت سعد الغامدى,Saad Al Ghamadi Roqia,Ruqaya con la voz de Saad al -ghamdi,Ruqaya con la voce di Saad al -ghamdi,سعد الغمدی کی آواز کے ساتھ روکایا,Ruqaya avec la voix de Saad al -Ghamdi,Ruqaya mit der Stimme von Saad al -Ghamdi,Saad al -ghamdi'nin sesi ile ruqaya,Ruqaya с голосом Саад -аль -Гэмди,Ruqaya با صدای سعد الغامدی
mohamed_al_ajamy_roqia,رقية بصوت احمد العجمى,Mohamed Al Ajamy Roqia,Ruqaya con la voz de Ahmed al -Ajmi,Ruqaya con la voce di Ahmed al -ajmi,احمد الجامی کی آواز کے ساتھ روکایا,Ruqaya avec la voix d'Ahmed al -ajmi,Ruqaya mit der Stimme von Ahmed al -Ajmi,Ahmed al -ajmi'nin sesi ile ruqaya,Рукая с голосом Ахмеда Аль -Аджми,Ruqaya با صدای احمد الجمی
